time,body_angle,stroke,spm,power,distance,pace,calories,state
1782511755.8951418,-3.9440823690181075,5,19.362725960960667,39.15910991607737,20.355336782148267,1065.7875651737897,0.894198971997277,FORWARD
1782511755.962005,-2.591600913330453,5,19.362725960960667,39.576734970783036,20.394625157330044,851.1937758060567,0.8967296144043551,FORWARD
1782511756.028345,-0.8712442160973979,5,19.362725960960667,40.42919174739693,20.443733849588092,675.4377704443624,0.8992937269414677,FORWARD
1782511756.095571,1.08003411523912,5,19.362725960960667,41.84833734323753,20.504637986519025,551.9093493114002,0.9019833477948521,FORWARD
1782511756.161953,3.359684808039679,5,19.362725960960667,44.332369608673126,20.577731090773508,454.09324450357013,0.9047968075306153,FORWARD
1782511756.2287621,5.802994660205651,5,19.362725960960667,47.96847633004296,20.66463015406728,384.39854444321065,0.9078605415891454,FORWARD
1782511756.2957819,8.40355851434894,6,16.860357344527806,48.03038007111442,20.76547777063612,332.2843916466566,0.9109379838588834,BACK
1782511756.3621278,11.251607141986089,6,16.860357344527806,55.38214367250647,20.880101577839817,289.3948067814619,0.9144506238046499,BACK
1782511756.428961,14.095780622944332,6,16.860357344527806,64.13262929453508,21.009404348149456,258.44720928828343,0.9185484830145368,BACK
1782511756.495549,16.933222188424367,6,16.860357344527806,74.34468602205648,21.151282095770604,234.67075762994602,0.9232813195342127,BACK
1782511756.562359,19.758514087110946,6,16.860357344527806,85.68118901707919,21.305791777613788,216.18658048360183,0.9287535984681986,BACK
1782511756.628944,22.385138738503052,6,16.860357344527806,96.60687911235206,21.46991569026167,202.8623251050381,0.9349036623124282,BACK
1782511756.695339,24.753215358624885,6,16.860357344527806,105.96697198870503,21.641305415068942,193.69332300149802,0.9416298389322995,BACK
1782511756.7623549,26.875428333041462,6,16.860357344527806,112.88676851512885,21.819655916468086,187.8769215141765,0.9488623502557676,BACK
1782511756.82814,28.58888901859196,6,16.860357344527806,116.33395243322555,21.99723042321303,185.22654248088307,0.9561786018481623,BACK
1782511756.8952,29.94672161756169,6,16.860357344527806,115.5323427963514,22.177667147057882,185.82954176189463,0.9635855888131423,BACK
1782511756.961962,30.741000038514677,6,16.860357344527806,109.53658909418237,22.35280251289436,190.6044569982816,0.9705769933157798,BACK
1782511757.028519,30.81692558488545,6,16.860357344527806,98.01646351734823,22.518066095796463,201.36887706148542,0.9768138656198714,BACK
1782511757.095402,30.366538610459195,6,16.860357344527806,87.66229974044083,22.674695915739548,213.50687622097408,0.9824191478703765,BACK
1782511757.161654,29.374101819557247,6,16.860357344527806,79.05309152866845,22.821106098350235,226.2474038034329,0.9874260840570207,BACK
1782511757.228353,27.852994358685283,6,16.860357344527806,71.771589088205,22.960154409164456,239.84548865591051,0.9920027387316732,BACK
1782511757.294732,25.881397139368232,6,16.860357344527806,65.68751516199634,23.090723383453128,254.18702471512967,0.9961711879477027,BACK
1782511757.3617868,23.536518873845864,6,16.860357344527806,60.52714804462211,23.21510593248386,269.5504677211169,1.0000513339244543,BACK
1782511757.42834,20.64842778590356,6,16.860357344527806,56.23024724791141,23.331576243125813,285.71361907937063,1.0036291209136954,BACK
1782511757.4949791,17.53781292330369,6,16.860357344527806,52.61778857654618,23.44158904181558,302.86906308566876,1.0069813140299935,BACK
1782511757.561187,14.31036169438948,6,16.860357344527806,49.60361131581742,23.54473770489715,320.9296664151439,1.0101209917782796,BACK
1782511757.6281579,11.019878176174347,6,16.860357344527806,47.04266617991255,23.643137316036327,340.3014648054206,1.0131329395691993,BACK
1782511757.6948018,8.022995026197252,6,16.860357344527806,44.90450293212158,23.735510698779784,360.7365293894741,1.0159939877734903,BACK
1782511757.76103,5.06740098081402,6,16.860357344527806,43.12012442634361,23.82213742705282,382.254764486653,1.0187241165711116,BACK
1782511757.828437,2.299695256773127,6,16.860357344527806,41.59525890413314,23.90525713981144,405.48795605885215,1.0214046679500541,BACK
1782511757.894721,-0.18941607593979395,6,16.860357344527806,40.33784856967534,23.982385973291642,429.6977971572311,1.0239608450081799,BACK
1782511757.9613829,-2.3450565105427743,6,16.860357344527806,39.27554934763636,24.055559032306824,455.50804909609326,1.026463885332294,BACK
1782511758.027872,-4.195578252122233,6,16.860357344527806,38.385968332666266,24.124417655593792,482.79342566765496,1.0289038890881417,BACK
1782511758.094825,-5.591681818313188,6,16.860357344527806,37.63393840816026,24.189810687337527,511.9272039890897,1.0313127829344944,FORWARD
1782511758.161082,-6.595265949270475,6,16.860357344527806,37.00930634627752,24.250880263440017,542.479233297772,1.033657105022717,FORWARD
1782511758.228099,-7.276982361267452,6,16.860357344527806,36.478734700255195,24.30912852804317,575.2464715754105,1.0359941928399543,FORWARD
1782511758.294505,-7.413196423741742,6,16.860357344527806,36.03755213735586,24.36359236058635,609.6602965988709,1.0382821595788292,FORWARD
1782511758.361114,-7.047997839761409,6,16.860357344527806,35.977719663204816,24.417744331995642,615.0006796628896,1.0405731422916509,FORWARD
1782511758.4280279,-6.1913623911300375,6,16.860357344527806,36.378430676355336,24.475192582026086,582.3940260351127,1.0429003545009894,FORWARD
1782511758.4946299,-4.945637522955858,6,16.860357344527806,37.25415058252305,24.538067303910868,529.6480312851955,1.0452724731955207,FORWARD
1782511758.561113,-3.4050377724410152,6,16.860357344527806,38.679449092782164,24.608310088950397,473.0744414638121,1.047730065275404,FORWARD
1782511758.627944,-1.581466838954225,6,16.860357344527806,40.8410224028571,24.688024371977072,419.3276628749641,1.050340330121644,FORWARD
1782511758.6945212,0.5799941458025242,6,16.860357344527806,44.231618285228414,24.778415766704157,368.27571683106345,1.0531556731065896,FORWARD
1782511758.761029,3.0989876646726846,6,16.860357344527806,49.43706410716014,24.88166864013367,322.0593231449416,1.0562989960689542,FORWARD
1782511758.828062,5.888287757365299,6,16.860357344527806,56.707016236944185,24.99979920097287,283.72443154530106,1.05993307292687,FORWARD
1782511758.8945532,8.861397927415329,7,16.734864965665626,66.23499751068829,25.131670498639593,252.10523355742873,1.064143420766843,BACK
1782511758.961164,11.870522566547155,7,16.734864965665626,77.88052465294354,25.27787506230094,227.80167838098262,1.0691030022307992,BACK
1782511759.027443,14.898635007916516,7,16.734864965665626,91.45138235609252,25.43686933213275,208.4280850371983,1.0748976400516677,BACK
